Experiment_ID,Datum,Status,Env,Epochs,Batch_Size,Frameskip,Num_Hist,Num_Pred,LR_Predictor,LR_Decoder,LR_Action,N_Rollouts,State_Dim,Action_Dim,Emb_Dim,Train_Loss_Final,Val_Loss_Final,Z_Err_Pred,WandB_Run,Checkpoint_Path,Notizen
franka_cube_stack_f5_h3_p1,2026-01-07,Failed,franka_cube_stack,100,32,5,3,1,5e-4,3e-4,5e-4,20,22,9,404,,,,lively-violet-5,outputs/2026-01-07/09-33-48/,OOM bei batch_size=32 - RTX A4000 16GB
franka_cube_stack_f5_h3_p1_bs8,2026-01-07,Failed,franka_cube_stack,100,8,5,3,1,5e-4,3e-4,5e-4,20,22,9,404,,,,,,Freeze - Verdacht Thermal (war falsch)
fcs_10ep_thermal_fix,2026-01-13,Failed,franka_cube_stack,100,12,5,3,1,5e-4,3e-4,5e-4,10,22,9,404,,,,,,Freeze nach ~48min - GPU 48°C - Thermal war NICHT die Ursache
fcs_10ep_numworkers0,2026-01-13,Failed,franka_cube_stack,100,12,5,3,1,5e-4,3e-4,5e-4,10,22,9,404,,,,,,Freeze mit num_workers=0 - DataLoader war NICHT die Ursache
fcs_10ep_v3,2026-01-13,Failed,franka_cube_stack,100,12,5,3,1,5e-4,3e-4,5e-4,10,22,9,404,,,,,,Freeze - Ursache UNBEKANNT - Zombie-Prozess
,,,,,,,,,,,,,,,,,,,,

