batch_size,num_hist,frameskip,T,num_episodes,num_workers,slices,train_samples,steps,training_ok,rollout_ok,vram_train_mib,vram_train_pct,vram_val_peak_mib,vram_val_peak_pct,val_overhead_pct,vram_ok,score,attention_seq_len,attention_mib
16,2,1,22,1000,2,20,18000,1125,True,True,18603.4,75.7,21084.7,85.8,13.3,True,2000.09,392,2478.9
32,2,1,22,500,2,20,9000,282,True,True,34648.0,141.1,39155.0,159.4,13.0,False,-1.0,392,4957.8
32,2,1,22,1000,2,20,18000,563,True,True,34648.0,141.1,39155.0,159.4,13.0,False,-1.0,392,4957.8
4,2,2,22,500,2,17,7650,1913,True,True,6569.9,26.7,7514.1,30.6,14.4,True,2000.05,392,619.7
4,2,2,22,1000,2,17,15300,3825,True,True,6569.9,26.7,7514.1,30.6,14.4,True,2000.03,392,619.7
8,2,2,22,500,2,17,7650,957,True,True,10581.1,43.1,12031.7,49.0,13.7,True,2000.1,392,1239.5
8,2,2,22,1000,2,17,15300,1913,True,True,10581.1,43.1,12031.7,49.0,13.7,True,2000.05,392,1239.5
16,2,2,22,500,2,17,7650,479,True,True,18603.4,75.7,21066.8,85.8,13.2,True,2000.21,392,2478.9
16,2,2,22,1000,2,17,15300,957,True,True,18603.4,75.7,21066.8,85.8,13.2,True,2000.1,392,2478.9
32,2,2,22,500,2,17,7650,240,True,True,34648.0,141.1,39137.1,159.3,13.0,False,-1.0,392,4957.8
32,2,2,22,1000,2,17,15300,479,True,True,34648.0,141.1,39137.1,159.3,13.0,False,-1.0,392,4957.8
4,2,3,22,500,2,14,6300,1575,True,True,6569.9,26.7,7509.2,30.6,14.3,True,2000.06,392,619.7
4,2,3,22,1000,2,14,12600,3150,True,True,6569.9,26.7,7509.2,30.6,14.3,True,2000.03,392,619.7
8,2,3,22,500,2,14,6300,788,True,True,10581.1,43.1,12026.8,49.0,13.7,True,2000.13,392,1239.5
8,2,3,22,1000,2,14,12600,1575,True,True,10581.1,43.1,12026.8,49.0,13.7,True,2000.06,392,1239.5
16,2,3,22,500,2,14,6300,394,True,True,18603.4,75.7,21062.0,85.7,13.2,True,2000.25,392,2478.9
16,2,3,22,1000,2,14,12600,788,True,True,18603.4,75.7,21062.0,85.7,13.2,True,2000.13,392,2478.9
32,2,3,22,500,2,14,6300,197,True,True,34648.0,141.1,39132.3,159.3,12.9,False,-1.0,392,4957.8
32,2,3,22,1000,2,14,12600,394,True,True,34648.0,141.1,39132.3,159.3,12.9,False,-1.0,392,4957.8
4,2,4,22,500,2,11,4950,1238,True,True,6569.9,26.7,7506.0,30.6,14.2,True,2000.08,392,619.7
4,2,4,22,1000,2,11,9900,2475,True,True,6569.9,26.7,7506.0,30.6,14.2,True,2000.04,392,619.7
8,2,4,22,500,2,11,4950,619,True,True,10581.1,43.1,12023.6,48.9,13.6,True,2000.16,392,1239.5
8,2,4,22,1000,2,11,9900,1238,True,True,10581.1,43.1,12023.6,48.9,13.6,True,2000.08,392,1239.5
16,2,4,22,500,2,11,4950,310,True,True,18603.4,75.7,21058.7,85.7,13.2,True,2000.32,392,2478.9
16,2,4,22,1000,2,11,9900,619,True,True,18603.4,75.7,21058.7,85.7,13.2,True,2000.16,392,2478.9
32,2,4,22,500,2,11,4950,155,True,True,34648.0,141.1,39129.0,159.3,12.9,False,-1.0,392,4957.8
32,2,4,22,1000,2,11,9900,310,True,True,34648.0,141.1,39129.0,159.3,12.9,False,-1.0,392,4957.8
4,2,5,22,500,2,8,3600,900,True,False,6569.9,26.7,7504.4,30.6,14.2,True,-1.0,392,619.7
4,2,5,22,1000,2,8,7200,1800,True,False,6569.9,26.7,7504.4,30.6,14.2,True,-1.0,392,619.7
8,2,5,22,500,2,8,3600,450,True,False,10581.1,43.1,12021.9,48.9,13.6,True,-1.0,392,1239.5
8,2,5,22,1000,2,8,7200,900,True,False,10581.1,43.1,12021.9,48.9,13.6,True,-1.0,392,1239.5
16,2,5,22,500,2,8,3600,225,True,False,18603.4,75.7,21057.1,85.7,13.2,True,-1.0,392,2478.9
16,2,5,22,1000,2,8,7200,450,True,False,18603.4,75.7,21057.1,85.7,13.2,True,-1.0,392,2478.9
32,2,5,22,500,2,8,3600,113,True,False,34648.0,141.1,39127.4,159.3,12.9,False,-1.0,392,4957.8
32,2,5,22,1000,2,8,7200,225,True,False,34648.0,141.1,39127.4,159.3,12.9,False,-1.0,392,4957.8
4,3,1,22,500,2,19,8550,2138,True,True,8579.3,34.9,9895.4,40.3,15.3,True,3000.05,588,1394.4
4,3,1,22,1000,2,19,17100,4275,True,True,8579.3,34.9,9895.4,40.3,15.3,True,3000.02,588,1394.4
8,3,1,22,500,2,19,8550,1069,True,True,14599.9,59.4,16671.9,67.9,14.2,True,3000.09,588,2788.8
8,3,1,22,1000,2,19,17100,2138,True,True,14599.9,59.4,16671.9,67.9,14.2,True,3000.05,588,2788.8
16,3,1,22,500,2,19,8550,535,True,True,26641.0,108.5,30224.8,123.0,13.5,False,-1.0,588,5577.6
16,3,1,22,1000,2,19,17100,1069,True,True,26641.0,108.5,30224.8,123.0,13.5,False,-1.0,588,5577.6
32,3,1,22,500,2,19,8550,268,True,True,50723.3,206.5,57330.7,233.4,13.0,False,-1.0,588,11155.1
32,3,1,22,1000,2,19,17100,535,True,True,50723.3,206.5,57330.7,233.4,13.0,False,-1.0,588,11155.1
4,3,2,22,500,2,15,6750,1688,True,True,8579.3,34.9,9877.5,40.2,15.1,True,3000.06,588,1394.4
